kod,nazev,volici,obalky,platne_hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
404,1,254,6287,254,1,404,6287,250,1,680,0,3,0,11,6,40,5,8,960,4,10,160,3,13,40,0,15,800,0
404,1,254,6287,254,1,404,6287,250,1,680,0,3,0,11,6,40,5,8,960,4,10,160,3,13,40,0,15,800,0
109,1,80,7339,80,1,109,7339,80,1,375,0,3,0,5,6,0,5,8,625,1,10,0,1,13,0,0,15,1125,0
109,1,80,7339,80,1,109,7339,80,1,375,0,3,0,5,6,0,5,8,625,1,10,0,1,13,0,0,15,1125,0
146,1,84,5753,84,1,146,5753,84,1,714,1,3,119,5,6,0,3,8,595,0,10,238,0,13,0,0,15,714,0
146,1,84,5753,84,1,146,5753,84,1,714,1,3,119,5,6,0,3,8,595,0,10,238,0,13,0,0,15,714,0
492,2,321,6524,321,2,492,6524,318,1,723,1,3,0,17,6,0,7,8,691,1,10,0,5,13,0,0,15,440,1
1 306,3,863,6608,861,3,1306,6608,857,1,793,1,3,11,60,6,11,31,8,991,7,10,70,11,13,46,1,15,793,0
478,1,282,5900,282,1,478,5900,275,1,618,0,3,0,20,6,0,16,8,1127,3,10,36,3,13,36,0,15,654,0
478,1,282,5900,282,1,478,5900,275,1,618,0,3,0,20,6,0,16,8,1127,3,10,36,3,13,36,0,15,654,0
419,1,281,6706,281,1,419,6706,280,1,535,0,3,0,16,6,0,8,8,1464,3,10,0,1,13,0,0,15,500,0
419,1,281,6706,281,1,419,6706,280,1,535,0,3,0,16,6,0,8,8,1464,3,10,0,1,13,0,0,15,500,0
399,1,266,6667,265,1,399,6667,263,1,1064,0,3,76,25,6,0,2,8,950,3,10,38,3,13,38,1,15,798,1
399,1,266,6667,265,1,399,6667,263,1,1064,0,3,76,25,6,0,2,8,950,3,10,38,3,13,38,1,15,798,1
282,1,196,6950,196,1,282,6950,194,1,309,0,3,0,21,6,0,13,8,824,1,10,0,0,13,51,0,15,1082,0
282,1,196,6950,196,1,282,6950,194,1,309,0,3,0,21,6,0,13,8,824,1,10,0,0,13,51,0,15,1082,0
436,1,278,6376,278,1,436,6376,278,1,755,0,3,0,15,6,0,17,8,1762,3,10,251,2,13,71,0,15,611,0
436,1,278,6376,278,1,436,6376,278,1,755,0,3,0,15,6,0,17,8,1762,3,10,251,2,13,71,0,15,611,0
